pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2022-03-01,132487,176853.39,1477232.33,1114175.05,98010
2022-03-02,139160,187249.09,1558147.97,1167082.4833333334,103464
2022-03-03,151337,199509.4,1682571.12,1267074.7833333334,111489
2022-03-04,153467,199166.94,1675753.66,1270830.0333333334,110500
2022-03-05,154483,201146.77,1572586.77,1168040.066666667,105113
2022-03-06,114575,154929.71,1142870.21,786393.25,78520
2022-03-07,113722,153797.69,1244027.05,900914.8,84370
2022-03-08,136488,179632.73,1517533.28,1147740.2,100646
2022-03-09,137193,176408.44,1552981.51,1205553.8,102294
2022-03-10,141632,188542.22,1609705.12,1251978.933333333,104490
2022-03-11,153583,202849.48,1676539.81,1264247.95,110076
2022-03-12,158004,200291.1,1557903.28,1101470.1166666667,107375
2022-03-13,120021,158731.43,1190019.77,821241.55,82328
2022-03-14,111777,149806.25,1201969.78,866525.65,81700
2022-03-15,129356,174279.55,1440616.66,1079378.0833333333,95385
2022-03-16,139018,184425.21,1543734.67,1176951.8,101299
2022-03-17,133830,174891.06,1473697.91,1113237.7166666666,96770
2022-03-18,150972,199569.23,1634459.11,1232215.45,106865
2022-03-19,152760,201714.93,1556556.38,1158127.3666666667,103423
2022-03-20,113966,155693.86,1169805.37,837828.6,78998
2022-03-21,113558,152601.55,1222088.18,879311.4,83183
2022-03-22,130123,176031.21,1452674.79,1080384.683333333,96525
2022-03-23,142948,188406.74,1570147.54,1164607.3666666667,104937
2022-03-24,144864,191944.64,1604637.74,1203595.9,106452
2022-03-25,147491,193400.95,1583129.12,1185329.3,104592
2022-03-26,162892,213917.5,1656064.22,1224262.7666666666,110427
2022-03-27,127561,171897.81,1279696.32,890281.55,88013
2022-03-28,128164,167118.14,1381933.79,996865.8,94734
2022-03-29,142392,188305.75,1597869.7,1199506.3833333333,106268
2022-03-30,145749,193721.74,1641069.45,1242687.7833333334,108253
2022-03-31,146872,197801.45,1662495.66,1268068.3333333333,108524
2022-04-01,159370,212128.05,1748354.89,1315183.75,114610
2022-04-02,159361,210170.23,1642555.78,1222700.316666667,109223
2022-04-03,124599,166140.03,1246198.93,871984.7666666667,85500
2022-04-04,124676,167860.76,1358610.83,984675.3,91809
2022-04-05,140202,187028.73,1566416.83,1181276.75,103534
2022-04-06,141935,187455.27,1603407.45,1225481.4666666666,105274
2022-04-07,147736,189882.13,1663599.77,1304259.2666666666,108652
2022-04-08,152030,200730.96,1659523.53,1256566.5,108817
2022-04-09,160772,209475.77,1651752.46,1249759.5333333334,108916
2022-04-10,133112,175452.0,1321308.56,940610.6333333332,89843
2022-04-11,123746,163339.88,1328757.84,981401.5666666668,89085
2022-04-12,127293,177451.19,1475860.86,1172427.7,93261
2022-04-13,138524,187391.64,1569513.25,1225102.15,100523
2022-04-14,148518,197597.02,1651637.88,1280305.4,106843
2022-04-15,149571,198137.31,1551802.16,1129017.816666667,102458
2022-04-16,151179,196150.14,1484875.27,1085924.566666667,99660
2022-04-17,120446,157831.37,1141327.35,776079.75,79090
2022-04-18,120171,158727.21,1272341.47,920881.05,86222
2022-04-19,138515,181845.87,1519200.19,1144241.1,100419
2022-04-20,140529,185808.05,1565103.39,1209493.8833333333,101495
2022-04-21,150148,199584.26,1645869.26,1249295.6166666667,107229
2022-04-22,156673,207003.73,1665985.58,1240371.95,108909
2022-04-23,152197,204091.84,1579447.64,1183429.566666667,103563
2022-04-24,120624,166482.78,1230037.05,867132.3333333334,82900
2022-04-25,119031,161503.36,1302501.82,940885.05,87974
2022-04-26,135398,183976.09,1544746.86,1178446.2333333334,101033
2022-04-27,143224,192164.66,1636688.47,1260139.0166666666,106238
2022-04-28,143272,193261.8,1645872.1,1273526.3,106357
2022-04-29,148645,199455.95,1654539.33,1260483.6666666667,107435
2022-04-30,157450,213156.72,1648524.61,1249052.7166666666,107277
2022-05-01,112910,161027.47,1178712.36,826807.7833333333,78808
2022-05-02,103658,144819.92,1157877.42,830689.9666666667,77869
2022-05-03,134364,184799.81,1544669.83,1172191.183333333,100718
2022-05-04,141137,194104.51,1623439.02,1232071.0,105672
2022-05-05,148364,202201.84,1704696.36,1325162.1,109377
2022-05-06,145603,190894.06,1630526.01,1263851.0,105881
2022-05-07,148476,186824.93,1506999.01,1128911.55,101567
2022-05-08,123362,165996.31,1235374.33,870335.3,84062
2022-05-09,120507,162105.13,1330561.25,981711.9,88834
2022-05-10,135896,182965.77,1558860.36,1205513.6666666667,101112
2022-05-11,142974,194481.9,1655540.92,1285044.6,106609
2022-05-12,149321,203454.73,1710017.69,1319638.8666666667,110279
2022-05-13,147246,196957.13,1649985.13,1270643.3666666667,106573
2022-05-14,151251,200278.57,1601983.89,1240695.1333333333,104204
2022-05-15,121409,170321.03,1274648.84,929965.8833333332,84025
