Fecha,Numero total de viajes,Numero total de pasajeros,Distancia total recorrida (mi),Ingreso total (USD),Duración total recorrido (min)
2022-03-01,98010,132487,176853.39,1477232.33,1114175.05
2022-03-02,103464,139160,187249.09,1558147.97,1167082.4833333334
2022-03-03,111489,151337,199509.4,1682571.12,1267074.7833333334
2022-03-04,110500,153467,199166.94,1675753.66,1270830.0333333334
2022-03-05,105113,154483,201146.77,1572586.77,1168040.066666667
2022-03-06,78520,114575,154929.71,1142870.21,786393.25
2022-03-07,84370,113722,153797.69,1244027.05,900914.8
2022-03-08,100646,136488,179632.73,1517533.28,1147740.2
2022-03-09,102294,137193,176408.44,1552981.51,1205553.8
2022-03-10,104490,141632,188542.22,1609705.12,1251978.933333333
2022-03-11,110076,153583,202849.48,1676539.81,1264247.95
2022-03-12,107375,158004,200291.1,1557903.28,1101470.1166666667
2022-03-13,82328,120021,158731.43,1190019.77,821241.55
2022-03-14,81700,111777,149806.25,1201969.78,866525.65
2022-03-15,95385,129356,174279.55,1440616.66,1079378.0833333333
2022-03-16,101299,139018,184425.21,1543734.67,1176951.8
2022-03-17,96770,133830,174891.06,1473697.91,1113237.7166666666
2022-03-18,106865,150972,199569.23,1634459.11,1232215.45
2022-03-19,103423,152760,201714.93,1556556.38,1158127.3666666667
2022-03-20,78998,113966,155693.86,1169805.37,837828.6
2022-03-21,83183,113558,152601.55,1222088.18,879311.4
2022-03-22,96525,130123,176031.21,1452674.79,1080384.683333333
2022-03-23,104937,142948,188406.74,1570147.54,1164607.3666666667
2022-03-24,106452,144864,191944.64,1604637.74,1203595.9
2022-03-25,104592,147491,193400.95,1583129.12,1185329.3
2022-03-26,110427,162892,213917.5,1656064.22,1224262.7666666666
2022-03-27,88013,127561,171897.81,1279696.32,890281.55
2022-03-28,94734,128164,167118.14,1381933.79,996865.8
2022-03-29,106268,142392,188305.75,1597869.7,1199506.3833333333
2022-03-30,108253,145749,193721.74,1641069.45,1242687.7833333334
2022-03-31,108524,146872,197801.45,1662495.66,1268068.3333333333
2022-04-01,114610,159370,212128.05,1748354.89,1315183.75
2022-04-02,109223,159361,210170.23,1642555.78,1222700.316666667
2022-04-03,85500,124599,166140.03,1246198.93,871984.7666666667
2022-04-04,91809,124676,167860.76,1358610.83,984675.3
2022-04-05,103534,140202,187028.73,1566416.83,1181276.75
2022-04-06,105274,141935,187455.27,1603407.45,1225481.4666666666
2022-04-07,108652,147736,189882.13,1663599.77,1304259.2666666666
2022-04-08,108817,152030,200730.96,1659523.53,1256566.5
2022-04-09,108916,160772,209475.77,1651752.46,1249759.5333333334
2022-04-10,89843,133112,175452.0,1321308.56,940610.6333333332
2022-04-11,89085,123746,163339.88,1328757.84,981401.5666666668
2022-04-12,93261,127293,177451.19,1475860.86,1172427.7
2022-04-13,100523,138524,187391.64,1569513.25,1225102.15
2022-04-14,106843,148518,197597.02,1651637.88,1280305.4
2022-04-15,102458,149571,198137.31,1551802.16,1129017.816666667
2022-04-16,99660,151179,196150.14,1484875.27,1085924.566666667
2022-04-17,79090,120446,157831.37,1141327.35,776079.75
2022-04-18,86222,120171,158727.21,1272341.47,920881.05
2022-04-19,100419,138515,181845.87,1519200.19,1144241.1
2022-04-20,101495,140529,185808.05,1565103.39,1209493.8833333333
2022-04-21,107229,150148,199584.26,1645869.26,1249295.6166666667
2022-04-22,108909,156673,207003.73,1665985.58,1240371.95
2022-04-23,103563,152197,204091.84,1579447.64,1183429.566666667
2022-04-24,82900,120624,166482.78,1230037.05,867132.3333333334
2022-04-25,87974,119031,161503.36,1302501.82,940885.05
2022-04-26,101033,135398,183976.09,1544746.86,1178446.2333333334
2022-04-27,106238,143224,192164.66,1636688.47,1260139.0166666666
2022-04-28,106357,143272,193261.8,1645872.1,1273526.3
2022-04-29,107435,148645,199455.95,1654539.33,1260483.6666666667
2022-04-30,107277,157450,213156.72,1648524.61,1249052.7166666666
2022-05-01,78808,112910,161027.47,1178712.36,826807.7833333333
2022-05-02,77869,103658,144819.92,1157877.42,830689.9666666667
2022-05-03,100718,134364,184799.81,1544669.83,1172191.183333333
2022-05-04,105672,141137,194104.51,1623439.02,1232071.0
