Fecha,Numero total de viajes,Numero total de pasajeros,Distancia total recorrida (mi),Ingreso total (USD),Duración total recorrido (min)
2024-09-30,2694376,3611924,4627072.56,47621317.19,32204978.73
2024-10-31,3098848,4161415,5328322.14,54882390.71,37225769.05
2024-11-30,2382334,3208187,4041653.36,41984915.95,28474953.7
2024-12-31,2679796,3690784,4504022.45,49198287.02,31867194.88
2025-01-31,2756896,3654531,4687893.99,53195543.7,30158184.78
2025-02-28,2595567,3409338,4413239.34,50528461.89,29117147.06
2025-03-31,3009900,4022083,5266092.45,54293869.51,34059400.84
2025-04-30,2933628,3958050,5216562.86,53307959.12,33699575.77
2025-05-31,3010706,4024741,5319215.13,55476377.34,35549351.15
2025-06-30,2924451,3924791,5170272.31,53646863.95,34163363.08
2025-07-31,2598632,3542358,4613355.85,47027318.96,29467330.56
2025-08-31,2548886,3456733,4515708.31,46086430.91,28857574.63
2025-09-30,2746337,3681579,4716304.5,48539682.41,32826043.71
2025-10-31,3189455,4283089,5484115.09,56487077.77,38314200.32
2025-11-30,2679493,3608359,4545787.07,47221884.5,32026763.53
2025-12-31,2887851,3977331,4853708.06,53017968.85,34341316.49
2026-01-31,2876346,3812874,4891010.39,55500392.65,31464874.32
2026-02-28,2763153,3629466,4698186.23,53790901.82,30997135.87
