,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2822825.6036596,2955909.5943169026,3189378.769540139,2755921.8669951498,2892236.71407825,248256.48941566623,183099.2607113973,308094.0613177444,248256.48941566623,183099.2607113973,308094.0613177444,0.0,0.0,0.0,3071082.093075266
1,2022-04-30,2811796.731914336,2865640.0331984535,3093790.8350575515,2750231.4976262297,2870031.1611056933,163743.2068815236,87180.9694853192,236539.22374760045,163743.2068815236,87180.9694853192,236539.22374760045,0.0,0.0,0.0,2975539.9387958595
2,2022-05-31,2799825.9739626255,2920397.597236838,3141832.633078849,2742470.196326492,2854212.947821068,227984.05400175453,160623.7033678616,299491.7153047707,227984.05400175453,160623.7033678616,299491.7153047707,0.0,0.0,0.0,3027810.02796438
3,2022-06-30,2788329.9189211843,2810413.9496752196,3028459.4619748048,2732665.8582157823,2837326.9613358374,138684.35231022633,65797.12931565614,219643.82438812475,138684.35231022633,65797.12931565614,219643.82438812475,0.0,0.0,0.0,2927014.2712314106
4,2022-07-31,2774603.036126321,2483616.2259646147,2700808.250607166,2719790.1103231893,2828489.667250315,-180828.5209985417,-237155.75398389908,-119990.76170529932,-180828.5209985417,-237155.75398389908,-119990.76170529932,0.0,0.0,0.0,2593774.5151277795
5,2022-08-31,2758271.380591433,2416522.2221349403,2645311.073646977,2700065.540673053,2808793.56154717,-226191.66192578006,-290761.4961428853,-164616.6169436838,-226191.66192578006,-290761.4961428853,-164616.6169436838,0.0,0.0,0.0,2532079.718665653
6,2022-09-30,2740792.602466202,2374286.3527583717,2627546.4571342063,2684158.5292918147,2791485.7348784106,-239573.0803117562,-325671.4964744392,-162460.8378631512,-239573.0803117562,-325671.4964744392,-162460.8378631512,0.0,0.0,0.0,2501219.5221544458
7,2022-10-31,2720660.5584887094,2853318.7358090067,3090809.8915126515,2662873.9329380635,2774023.666970625,245484.6897658781,159721.0597490378,323395.3609918626,245484.6897658781,159721.0597490378,323395.3609918626,0.0,0.0,0.0,2966145.2482545874
8,2022-11-30,2699702.81648261,2524941.2680566194,2782619.514486505,2642978.0502519757,2754206.2370384857,-44662.820617967285,-114707.40573014061,29391.4332582114,-44662.820617967285,-114707.40573014061,29391.4332582114,0.0,0.0,0.0,2655039.995864643
9,2022-12-31,2677472.974986489,2616509.0685970285,2866266.1681421692,2620203.8205932984,2733890.9450657577,61203.8594094717,-33462.84681259283,156429.96863624285,61203.8594094717,-33462.84681259283,156429.96863624285,0.0,0.0,0.0,2738676.8343959604
10,2023-01-31,2655228.4344093828,2449437.622995072,2693975.8465839815,2595307.7456956333,2708756.9454388293,-80866.37225404037,-192959.077224901,34894.77399373257,-80866.37225404037,-192959.077224901,34894.77399373257,0.0,0.0,0.0,2574362.062155342
11,2023-02-28,2635150.4623754397,2358917.6334116976,2627894.1438021646,2576197.840938245,2687097.1196748293,-142389.56886029028,-270979.24737531535,-15651.045088246585,-142389.56886029028,-270979.24737531535,-15651.045088246585,0.0,0.0,0.0,2492760.8935151496
