,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2830634.5015671803,2983269.7801906285,3197356.043553804,2749209.0917861504,2912578.759979,253375.71039880707,185088.31204387415,318522.4290223968,253375.71039880707,185088.31204387415,318522.4290223968,0.0,0.0,0.0,3084010.2119659875
1,2022-04-30,2816262.6070096935,2863183.7670055446,3098553.6743663643,2754022.38284995,2888512.814960764,163248.67249046915,96049.53215902942,229373.24289540495,163248.67249046915,96049.53215902942,229373.24289540495,0.0,0.0,0.0,2979511.2795001627
2,2022-05-31,2801146.4452937264,2929494.6628646934,3133401.3361361837,2746664.2275880743,2860572.9042230826,232141.5757053332,171707.50729695326,293600.62093506276,232141.5757053332,171707.50729695326,293600.62093506276,0.0,0.0,0.0,3033288.0209990595
3,2022-06-30,2788033.1895594164,2811533.5796503504,3025123.375570094,2742187.8047721446,2834817.1807587002,128509.85137374871,73661.93461606622,195297.54733479093,128509.85137374871,73661.93461606622,195297.54733479093,0.0,0.0,0.0,2916543.0409331652
4,2022-07-31,2773378.978200452,2484640.2793259295,2704892.7641279506,2728123.9438974163,2816283.6958082328,-177834.07492576927,-231784.566624124,-115506.95852398495,-177834.07492576927,-231784.566624124,-115506.95852398495,0.0,0.0,0.0,2595544.903274683
5,2022-08-31,2757487.022688343,2425003.42212233,2635764.795631038,2712927.1134331506,2800115.8163778647,-234406.7609867677,-288527.95167507464,-176530.6953768394,-234406.7609867677,-288527.95167507464,-176530.6953768394,0.0,0.0,0.0,2523080.2617015755
6,2022-09-30,2739232.0466459994,2420186.9440618525,2655241.5967335743,2688537.406053081,2786493.5139379916,-203410.5134434374,-280040.95606938796,-124719.84226091557,-203410.5134434374,-280040.95606938796,-124719.84226091557,0.0,0.0,0.0,2535821.533202562
7,2022-10-31,2718256.3811184373,2858690.1060707537,3101175.477827782,2668451.1487341966,2765814.0403967714,253842.44017512843,170278.39801294406,346674.3949787547,253842.44017512843,170278.39801294406,346674.3949787547,0.0,0.0,0.0,2972098.821293566
8,2022-11-30,2696290.6098495494,2520892.137963801,2744985.4200557875,2644494.3548854236,2747007.743743473,-63717.970612390694,-137560.91263933363,9322.495680094094,-63717.970612390694,-137560.91263933363,9322.495680094094,0.0,0.0,0.0,2632572.6392371585
9,2022-12-31,2673149.364454534,2597987.061978927,2831642.4189925254,2619416.095209034,2721882.697967821,47367.93572700716,-47429.926888068825,123293.20907424875,47367.93572700716,-47429.926888068825,123293.20907424875,0.0,0.0,0.0,2720517.300181541
10,2023-01-31,2650182.9253845764,2459619.8613136318,2695387.062177191,2599347.3342237594,2701583.7338089184,-69206.86430719905,-166208.36190020226,34652.63672930933,-69206.86430719905,-166208.36190020226,34652.63672930933,0.0,0.0,0.0,2580976.0610773773
11,2023-02-28,2630999.6120911487,2366540.309951909,2603740.6762974868,2580385.6366758407,2681651.993257017,-145703.50898429265,-243588.2466753334,-43615.60928225492,-145703.50898429265,-243588.2466753334,-43615.60928225492,0.0,0.0,0.0,2485296.103106856
12,2023-03-31,2610275.83031802,2734109.1641629846,2985813.5174747854,2562132.6796922944,2662572.7819971927,253079.79000021555,160671.68129156134,338597.1534699238,253079.79000021555,160671.68129156134,338597.1534699238,0.0,0.0,0.0,2863355.620318236
13,2023-04-30,2592375.4107634802,2626774.3149335464,2864889.800080191,2547758.2981389943,2647291.892119806,154940.1771582909,72925.87238474027,234561.93416436744,154940.1771582909,72925.87238474027,234561.93416436744,0.0,0.0,0.0,2747315.587921771
14,2023-05-31,2575269.3558874656,2677257.5838658507,2928062.5097887926,2529982.3334334027,2631796.197874165,230202.2869384144,158575.54392902285,301154.45749383885,230202.2869384144,158575.54392902285,301154.45749383885,0.0,0.0,0.0,2805471.64282588
15,2023-06-30,2561184.2636883426,2588733.167472067,2799974.1526538986,2514252.507088728,2609440.980774069,136903.6618802329,58387.018929088,214080.94376869948,136903.6618802329,58387.018929088,214080.94376869948,0.0,0.0,0.0,2698087.9255685755
16,2023-07-31,2549353.078622461,2303364.5634497087,2522987.836025032,2502384.7174511156,2596807.522144114,-132788.72946183954,-209181.67713586715,-56935.97942009709,-132788.72946183954,-209181.67713586715,-56935.97942009709,0.0,0.0,0.0,2416564.3491606214
17,2023-08-31,2541759.6585110095,2247845.3520148583,2489240.0222344687,2498525.9079695595,2585166.0674031167,-177957.90176349384,-250465.96303471975,-105839.71280272424,-177957.90176349384,-250465.96303471975,-105839.71280272424,0.0,0.0,0.0,2363801.756747516
18,2023-09-30,2538638.222260332,2080655.887243248,2317246.027195288,2494560.767974177,2578343.290299712,-337441.1087595041,-415458.1018035303,-252822.25447072418,-337441.1087595041,-415458.1018035303,-252822.25447072418,0.0,0.0,0.0,2201197.113500828
19,2023-10-31,2540695.922817863,2616429.7510102894,2852004.4461289165,2497440.240444839,2583244.78718252,193723.98190588047,121204.48353275588,265773.54450432485,193723.98190588047,121204.48353275588,265773.54450432485,0.0,0.0,0.0,2734419.9047237434
20,2023-11-30,2545806.2908194857,2492548.887922686,2729399.870084641,2506384.221395872,2589801.7048142403,66999.17982441046,-16476.252125279025,158628.1081525949,66999.17982441046,-16476.252125279025,158628.1081525949,0.0,0.0,0.0,2612805.470643896
21,2023-12-31,2553679.550760914,2525107.194326626,2766136.5907407445,2516304.9388393713,2597020.2320597633,91401.95906576549,2385.4757394427866,187482.8618088438,91401.95906576549,2385.4757394427866,187482.8618088438,0.0,0.0,0.0,2645081.5098266797
22,2024-01-31,2564205.1110582133,2312256.2040446843,2555330.4115474955,2526526.4387723287,2604762.982533629,-133384.36072075844,-208915.30879246927,-62760.08956570019,-133384.36072075844,-208915.30879246927,-62760.08956570019,0.0,0.0,0.0,2430820.750337455
23,2024-02-29,2576572.3020284283,2324138.0004954687,2556016.9164564023,2536425.0897499025,2617094.868778811,-139725.24261146176,-219775.09595607623,-68169.6414199095,-139725.24261146176,-219775.09595607623,-68169.6414199095,0.0,0.0,0.0,2436847.0594169665
24,2024-03-31,2591057.4420888782,2723707.283808871,2963646.706876122,2546875.541744768,2636749.6621986814,254213.76264986792,182311.33776005142,329850.5424346404,254213.76264986792,182311.33776005142,329850.5424346404,0.0,0.0,0.0,2845271.2047387464
25,2024-04-30,2605075.319566733,2670953.7568439213,2902960.3367694616,2560216.195522457,2650823.1296087527,180674.26202687784,107836.71888002254,250221.85437541132,180674.26202687784,107836.71888002254,250221.85437541132,0.0,0.0,0.0,2785749.5815936113
26,2024-05-31,2619560.459627183,2728449.243449119,2981901.22610035,2566289.1300225793,2671994.6001520595,237514.9370150953,145238.71017622406,332350.4028264325,237514.9370150953,145238.71017622406,332350.4028264325,0.0,0.0,0.0,2857075.3966422784
