,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2834318.7788741696,2993683.1164918365,3170887.651608704,2777430.5766221,2890665.8385786996,243644.91957184285,181448.1415025741,303668.49864663056,243644.91957184285,181448.1415025741,303668.49864663056,0.0,0.0,0.0,3077963.6984460126
1,2022-04-30,2820203.855216281,2883094.379241648,3066497.4335991186,2769769.581720382,2866508.3984077894,156216.3955781504,106655.87938213442,210646.11027476177,156216.3955781504,106655.87938213442,210646.11027476177,0.0,0.0,0.0,2976420.250794431
2,2022-05-31,2804937.7222603317,2946532.9221740626,3123892.13836597,2756505.889086122,2845234.549436828,230259.38099126646,173470.39051952597,290865.3405411866,230259.38099126646,173470.39051952597,290865.3405411866,0.0,0.0,0.0,3035197.1032515983
3,2022-06-30,2792028.485776132,2819536.4133812925,2998317.605173371,2749536.7256251597,2830071.8318758765,123525.8216219261,75518.2197029225,175948.52730674503,123525.8216219261,75518.2197029225,175948.52730674503,0.0,0.0,0.0,2915554.307398058
4,2022-07-31,2779126.619535607,2501537.0457548825,2691351.5712807756,2738474.1155136884,2817893.3539744173,-183677.94624146723,-230936.89435294122,-124069.86361015278,-183677.94624146723,-230936.89435294122,-124069.86361015278,0.0,0.0,0.0,2595448.6732941396
5,2022-08-31,2764712.8036525743,2442712.7793685393,2610277.2374934526,2728071.3041335833,2804359.379546409,-238810.82927126513,-294795.01396630664,-189412.49592376268,-238810.82927126513,-294795.01396630664,-189412.49592376268,0.0,0.0,0.0,2525901.974381309
6,2022-09-30,2748335.1862047957,2431223.595129092,2628888.538535276,2707418.8517405796,2787718.3249549256,-218253.9631323909,-285802.8352940145,-157247.2619002413,-218253.9631323909,-285802.8352940145,-157247.2619002413,0.0,0.0,0.0,2530081.223072405
7,2022-10-31,2729119.4167934726,2873147.351177793,3072254.7035930655,2686602.906168162,2767868.8648979473,245909.99236791887,173150.13170641797,314833.06825609505,245909.99236791887,173150.13170641797,314833.06825609505,0.0,0.0,0.0,2975029.4091613917
8,2022-11-30,2707610.9582334333,2554030.804656018,2748746.674356116,2665600.479297485,2749525.2772745276,-56455.84947840266,-108181.16119707694,-4336.115146622718,-56455.84947840266,-108181.16119707694,-4336.115146622718,0.0,0.0,0.0,2651155.1087550307
9,2022-12-31,2684815.4649595898,2621883.982656183,2825885.519989258,2641082.557154429,2726530.9799597883,40180.25416704287,-34262.94082459965,111567.82622580136,40180.25416704287,-34262.94082459965,111567.82622580136,0.0,0.0,0.0,2724995.7191266324
