,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2835561.79542146,2968327.5416816114,3189523.2869505254,2752423.7208303497,2916282.3176801996,243456.82185756837,178022.18011200696,312737.2108535965,243456.82185756837,178022.18011200696,312737.2108535965,0.0,0.0,0.0,3079018.6172790285
1,2022-04-30,2821641.921779346,2860668.992573247,3079617.446089306,2750767.4092604923,2891851.04149334,145301.81616642408,76494.89709752954,216773.9143039105,145301.81616642408,76494.89709752954,216773.9143039105,0.0,0.0,0.0,2966943.7379457704
2,2022-05-31,2807146.4369293554,2927748.6589310747,3142077.848117923,2741940.9978500763,2864704.368542162,230191.89086230233,149372.02190101697,306678.0218510273,230191.89086230233,149372.02190101697,306678.0218510273,0.0,0.0,0.0,3037338.3277916578
3,2022-06-30,2794332.1033298345,2830163.127591744,3028510.321440936,2732510.273496355,2847135.741802526,134099.68590586729,55280.86856268829,205014.0698470599,134099.68590586729,55280.86856268829,205014.0698470599,0.0,0.0,0.0,2928431.789235702
4,2022-07-31,2780861.067478622,2484550.5281435414,2702985.194042472,2723039.880775454,2834075.513595928,-190943.95602432318,-262506.6878322238,-117437.97951778815,-190943.95602432318,-262506.6878322238,-117437.97951778815,0.0,0.0,0.0,2589917.1114542987
5,2022-08-31,2766357.4729059073,2426793.2558386684,2630798.1795140826,2709653.2063548635,2823727.0202764226,-234508.69081838726,-307071.74904944666,-161378.54624323262,-234508.69081838726,-307071.74904944666,-161378.54624323262,0.0,0.0,0.0,2531848.78208752
6,2022-09-30,2749645.3267903426,2410702.631554276,2655317.6830408545,2692821.575033655,2806952.0349101457,-214231.22938624574,-319611.4247751162,-122447.6146359718,-214231.22938624574,-319611.4247751162,-122447.6146359718,0.0,0.0,0.0,2535414.0974040967
7,2022-10-31,2730811.8840332967,2835071.6478192243,3095924.8879429405,2671338.090009954,2790545.8956432734,232659.0986437917,136571.85569837005,336661.3726561007,232659.0986437917,136571.85569837005,336661.3726561007,0.0,0.0,0.0,2963470.9826770886
8,2022-11-30,2711260.2545280163,2540384.9566823808,2779660.165739825,2654901.160082095,2771968.095176246,-49552.31409419524,-112780.31493564535,14562.868683632127,-49552.31409419524,-112780.31493564535,14562.868683632127,0.0,0.0,0.0,2661707.940433821
9,2022-12-31,2689963.170710359,2612303.5539421113,2850232.098353376,2634254.9710883,2752924.689785127,35393.35012162854,-40726.885068079515,116424.71555317428,35393.35012162854,-40726.885068079515,116424.71555317428,0.0,0.0,0.0,2725356.5208319873
10,2023-01-31,2669021.840428485,2457761.4603227987,2687589.482780357,2611327.261366902,2735282.809205449,-88522.9827119112,-191405.03246380916,12644.213943835905,-88522.9827119112,-191405.03246380916,12644.213943835905,0.0,0.0,0.0,2580498.857716574
11,2023-02-28,2649515.267869009,2372039.569441982,2609239.3038954767,2590495.593354941,2707920.5146174305,-155250.8815675604,-273421.6040758907,-37426.24382591019,-155250.8815675604,-273421.6040758907,-37426.24382591019,0.0,0.0,0.0,2494264.3863014486
12,2023-03-31,2628192.34863954,2748425.6511874823,2985956.8478595465,2565408.557138528,2686869.998239509,240079.43024355746,153280.5643853786,323462.03481159994,240079.43024355746,153280.5643853786,323462.03481159994,0.0,0.0,0.0,2868271.778883097
