,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,3063503.579464125,2503561.4583951766,3252681.0699696927,2822959.5209112503,3235039.5093625,-183789.45190241886,-692711.483051819,306190.58827854163,42315.80009700166,-299087.2689332813,283786.72324205545,-226105.25199942052,-700361.1667893089,86637.40664787943,0.0,0.0,0.0,2879714.127561706
1,2022-04-30,3046572.0245278645,2759300.1947762407,3752454.264632724,2803230.7612152942,3233790.7673937096,160090.58441450557,-236593.3080376468,378812.23119093705,76439.6227943669,-298256.0977279144,523805.2188752562,83650.96162013868,-327028.2338066051,431620.7467773722,0.0,0.0,0.0,3206662.60894237
2,2022-05-31,3030250.646696821,1897626.613767306,3404814.798231212,2787322.2637178777,3257573.732376811,-103072.77802157181,-476900.84258580324,325684.6880208552,212388.0151279468,-2819.450704846029,473934.54892317543,-315460.79314951866,-708987.6021446887,120451.18680402162,0.0,0.0,0.0,2927177.868675249
3,2022-06-30,3014217.1912432816,2239690.2272534827,3122992.2575555076,2754676.478245021,3216641.002877078,-180408.3886269243,-746832.4734602303,241557.62557019328,42315.80009562636,-299087.2689369361,283786.72323945456,-222724.1887225507,-530224.0474424466,105355.58774057942,0.0,0.0,0.0,2833808.8026163573
4,2022-07-31,2999159.8095240328,1583859.9846791774,2714202.0437019463,2748373.059272411,3212688.7632133146,-466364.5829982152,-847860.122134937,-55528.48021090405,-390903.58414430544,-491115.32240932476,-46298.56655141109,-75460.9988539098,-541926.1887383861,232690.71057575638,0.0,0.0,0.0,2532795.2265258175
5,2022-08-31,2986002.7372289347,2280914.482955315,3244163.7547255675,2740736.472644038,3201325.3858761867,-421190.7616857568,-783520.5555011707,-99815.5493808196,77533.23705316975,-310898.77667986084,391361.11166678113,-498723.99873892666,-868008.9631513535,-223216.46832186333,0.0,0.0,0.0,2564811.9755431777
6,2022-09-30,2972774.737905363,1984260.0420452503,2837257.87080356,2734221.9570123306,3177947.1276529566,-433149.870777659,-866684.7651133835,-32708.709014779535,471323.6173861731,90375.76729051906,775309.4928295529,-904473.4881638322,-1162987.8385830354,-470093.9994219976,0.0,0.0,0.0,2539624.867127704
7,2022-10-31,2958274.5420579347,2355560.7600293886,3511496.994577164,2724008.9316096995,3173927.990707295,-116777.92137486511,-569874.5431408575,461254.9434595472,-489096.70831470954,-943958.654914362,63845.498800830675,372318.7869398444,-226584.40712319093,805621.8660243268,0.0,0.0,0.0,2841496.6206830693
8,2022-11-30,2944005.954690273,2499034.693767572,3578646.190071161,2697365.7912571905,3129967.6410437347,-87392.12411271101,-275948.3593532469,117033.47078117932,77533.23705372997,-310898.77667936846,391361.11166762037,-164925.36116644097,-409454.70350810536,234157.15414567135,0.0,0.0,0.0,2856613.830577562
9,2022-12-31,2931773.3429913847,2335788.64313958,3269323.2654701294,2670623.4830165356,3125701.1309160837,-106024.29954306691,-497947.0430392588,194259.71979866808,76439.62279609786,-298256.09772648534,523805.2188767422,-182463.92233916477,-823005.7296120918,380018.9564194465,0.0,0.0,0.0,2825749.043448318
