,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2823474.2490112204,2963174.0164599502,3181919.3329811683,2759176.7788406503,2891193.97377895,251667.68988687,180784.97404678978,318979.0208589049,251667.68988687,180784.97404678978,318979.0208589049,0.0,0.0,0.0,3075141.9388980903
1,2022-04-30,2806705.797025606,2867621.0181818893,3081550.0739505626,2746330.469531171,2860942.4874641136,166812.21413103642,98613.59495861112,243391.81892631546,166812.21413103642,98613.59495861112,243391.81892631546,0.0,0.0,0.0,2973518.0111566423
2,2022-05-31,2790346.140342513,2939186.5706385397,3136378.743228685,2734442.716165929,2841342.2738590455,244636.26656399845,182770.82108946302,303258.5822736748,244636.26656399845,182770.82108946302,303258.5822736748,0.0,0.0,0.0,3034982.4069065116
3,2022-06-30,2774401.8386472357,2813151.5578434756,3023468.451605027,2722892.686277154,2820842.469461976,143211.8973223896,86570.72067194039,208168.70317899255,143211.8973223896,86570.72067194039,208168.70317899255,0.0,0.0,0.0,2917613.7359696254
4,2022-07-31,2758044.9196605515,2498560.3597581256,2700466.822168656,2712472.0405724077,2805155.312694058,-170964.67574380164,-226038.31859398587,-118686.01692722498,-170964.67574380164,-226038.31859398587,-118686.01692722498,0.0,0.0,0.0,2587080.24391675
5,2022-08-31,2740907.9978703456,2422289.470066576,2620190.6063619405,2693641.339440845,2786371.7640590966,-219243.97304145663,-278139.13679778855,-158148.0809193321,-219243.97304145663,-278139.13679778855,-158148.0809193321,0.0,0.0,0.0,2521664.024828889
6,2022-09-30,2722834.5981691447,2414081.9596318617,2644214.3330675717,2676613.2781218933,2773585.851756398,-195240.98923846765,-269239.721799433,-127209.06730263302,-195240.98923846765,-269239.721799433,-127209.06730263302,0.0,0.0,0.0,2527593.608930677
7,2022-10-31,2703357.8198317233,2838312.443329995,3073477.247729685,2657076.003720604,2753794.7253078497,255992.8778341096,159344.00805027608,343478.03009267215,255992.8778341096,159344.00805027608,343478.03009267215,0.0,0.0,0.0,2959350.697665833
8,2022-11-30,2684240.1349140997,2516489.401551762,2727573.9035995747,2633123.289514237,2735946.820880425,-61014.586563641875,-127746.69424885092,3750.9404256965,-61014.586563641875,-127746.69424885092,3750.9404256965,0.0,0.0,0.0,2623225.548350458
9,2022-12-31,2664022.0346721844,2612443.5047480026,2837792.3931579045,2607827.9664531676,2715696.1985083157,55531.515090830304,-18691.68454764902,131228.73308588497,55531.515090830304,-18691.68454764902,131228.73308588497,0.0,0.0,0.0,2719553.5497630145
10,2023-01-31,2644364.629530043,2461007.1801246833,2685047.0015890948,2584246.3291463386,2696335.2788946847,-68257.3140087319,-154916.61360046722,23402.731107797383,-68257.3140087319,-154916.61360046722,23402.731107797383,0.0,0.0,0.0,2576107.315521311
11,2023-02-28,2626357.137984083,2346682.4587774887,2602226.414117282,2567867.60753068,2678436.8880138504,-147246.72045645647,-265574.0513503056,-29638.663842391532,-147246.72045645647,-265574.0513503056,-29638.663842391532,0.0,0.0,0.0,2479110.4175276267
12,2023-03-31,2607168.616819225,2751013.111198318,2975562.2326599834,2551998.0671048374,2657935.8487480707,250749.00165058477,165129.15514800992,332982.6515975461,250749.00165058477,165129.15514800992,332982.6515975461,0.0,0.0,0.0,2857917.6184698096
13,2023-04-30,2590373.2948922752,2649148.168177454,2873421.3972316473,2532436.694864906,2638919.5831812285,166012.88224108808,79558.93458506688,258140.24081316456,166012.88224108808,79558.93458506688,258140.24081316456,0.0,0.0,0.0,2756386.177133363
14,2023-05-31,2574352.9003546704,2718644.591775952,2937801.5785844084,2518235.6208168673,2622795.8783861455,248401.52957242087,169516.44266946177,317196.5137931239,248401.52957242087,169516.44266946177,317196.5137931239,0.0,0.0,0.0,2822754.429927091
15,2023-06-30,2561349.8678366924,2598264.5853232024,2833443.7459599404,2508976.583936718,2606566.02606128,154930.85532297925,85602.1437050584,223820.66753119588,154930.85532297925,85602.1437050584,223820.66753119588,0.0,0.0,0.0,2716280.7231596718
16,2023-07-31,2551146.089664519,2305994.8312927056,2518738.7337842397,2501913.1033758647,2594994.465933543,-141331.38086743304,-213627.2647188296,-58848.77174915742,-141331.38086743304,-213627.2647188296,-58848.77174915742,0.0,0.0,0.0,2409814.708797086
17,2023-08-31,2543753.9344383883,2267125.0869351416,2487153.5030702315,2496382.108027471,2587278.3087643594,-166980.61252137143,-233195.32132653848,-113119.65745328706,-166980.61252137143,-233195.32132653848,-113119.65745328706,0.0,0.0,0.0,2376773.321917017
18,2023-09-30,2540463.5659355875,2096626.5275993943,2319540.55210686,2497137.253520439,2585274.4641021206,-330717.9256506817,-412109.11338089267,-249103.53826396875,-330717.9256506817,-412109.11338089267,-249103.53826396875,0.0,0.0,0.0,2209745.6402849057
19,2023-10-31,2540781.7389271855,2643475.5120418994,2854871.2533577653,2499447.9477996547,2586215.4649122385,204287.7434293488,131227.46744126224,281658.4966994418,204287.7434293488,131227.46744126224,281658.4966994418,0.0,0.0,0.0,2745069.4823565343
20,2023-11-30,2544502.836848644,2525402.7407637076,2748021.6547279367,2504121.2202047375,2590727.0277743875,90505.37872331323,1448.3458880295043,190597.78411374916,90505.37872331323,1448.3458880295043,190597.78411374916,0.0,0.0,0.0,2635008.215571957
21,2023-12-31,2551412.5089140744,2519647.9152340996,2741663.1380405715,2509289.4530267036,2593151.66362768,79221.82371438164,-7082.595072731153,156088.32896172203,79221.82371438164,-7082.595072731153,156088.32896172203,0.0,0.0,0.0,2630634.332628456
22,2024-01-31,2560922.933008933,2315541.3948386987,2531534.1068653553,2518352.570616514,2603413.4495386723,-135361.7502921153,-192761.73041900582,-73595.20337553744,-135361.7502921153,-192761.73041900582,-73595.20337553744,0.0,0.0,0.0,2425561.1827168176
23,2024-02-29,2571131.272053049,2320172.2549343375,2551024.6933419644,2526372.9573893305,2613979.190587008,-136901.76058292115,-206897.79545345067,-60901.79221817327,-136901.76058292115,-206897.79545345067,-60901.79221817327,0.0,0.0,0.0,2434229.511470128
24,2024-03-31,2582706.281797712,2714833.0630373317,2960222.901888013,2536154.249679467,2624296.597480144,254378.47293102692,172124.28600566127,328870.46889190684,254378.47293102692,172124.28600566127,328870.46889190684,0.0,0.0,0.0,2837084.754728739
25,2024-04-30,2593907.904131257,2646295.7361692977,2883405.6828286485,2545034.411303656,2640875.1652440825,169514.83391895346,84634.78438421732,237820.93157861018,169514.83391895346,84634.78438421732,237820.93157861018,0.0,0.0,0.0,2763422.7380502103
26,2024-05-31,2605482.9138759198,2734704.8125089495,2954329.523901937,2552757.596822284,2656595.274134135,238207.67119924107,163170.7067297476,316544.96143691207,238207.67119924107,163170.7067297476,316544.96143691207,0.0,0.0,0.0,2843690.585075161
27,2024-06-30,2616684.5362094645,2631203.390005389,2856609.464684461,2559381.354748839,2671763.26235408,120654.667372285,32060.28378626243,212149.97755886387,120654.667372285,32060.28378626243,212149.97755886387,0.0,0.0,0.0,2737339.2035817495
28,2024-07-31,2628259.5459541273,2273334.057739503,2514384.211721346,2564141.2546926774,2690821.3742166227,-230567.8954465722,-337093.4525313201,-127380.78549951313,-230567.8954465722,-337093.4525313201,-127380.78549951313,0.0,0.0,0.0,2397691.6505075553
29,2024-08-31,2639834.55569879,2194377.1702308776,2434537.487992761,2565660.498430674,2710229.1996167866,-330899.40104723896,-432720.2863724093,-240135.7435561579,-330899.40104723896,-432720.2863724093,-240135.7435561579,0.0,0.0,0.0,2308935.154651551
30,2024-09-30,2651036.1780323354,2474949.128627876,2948481.443564841,2566042.261445078,2729263.805284853,73502.86494208827,-122054.59887608555,242731.98910381828,73502.86494208827,-122054.59887608555,242731.98910381828,0.0,0.0,0.0,2724539.0429744236
31,2024-10-31,2662611.1877769977,2780486.6997159524,3269011.5790078235,2571199.428862814,2750316.2252529925,370325.3446216307,117858.87480469036,626866.3039947574,370325.3446216307,117858.87480469036,626866.3039947574,0.0,0.0,0.0,3032936.5323986285
