,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2835219.2993597197,2964951.069612974,3191646.302325448,2767750.4042181,2905417.6464166,239116.43695855522,162104.14221174596,316763.47355001897,239116.43695855522,162104.14221174596,316763.47355001897,0.0,0.0,0.0,3074335.736318275
1,2022-04-30,2820504.89873832,2854415.7031929973,3088535.0812574867,2762063.50225068,2886441.9699410894,153968.38469763528,93491.10713344257,233194.7382100594,153968.38469763528,93491.10713344257,233194.7382100594,0.0,0.0,0.0,2974473.283435955
2,2022-05-31,2805300.4857065706,2913726.102968596,3152479.3468625876,2747154.835541571,2873900.7556825527,229685.33400306545,155203.45151793773,302458.56755014486,229685.33400306545,155203.45151793773,302458.56755014486,0.0,0.0,0.0,3034985.819709636
3,2022-06-30,2790717.876576012,2815198.011717081,3036834.6921282667,2731271.8252314096,2853560.5471480484,130320.8557016236,64294.28060147594,195311.92891794696,130320.8557016236,64294.28060147594,195311.92891794696,0.0,0.0,0.0,2921038.7322776355
4,2022-07-31,2774813.7774721514,2463498.824341878,2709999.760451875,2718587.5358035597,2839375.654166363,-188768.59588541582,-263254.52383249253,-111249.58715560462,-188768.59588541582,-263254.52383249253,-111249.58715560462,0.0,0.0,0.0,2586045.1815867354
5,2022-08-31,2757778.37548778,2405929.8888530526,2641057.5342830727,2701446.29364708,2821817.8428384885,-227374.87166883517,-305138.44163161906,-155601.33161313352,-227374.87166883517,-305138.44163161906,-155601.33161313352,0.0,0.0,0.0,2530403.503818945
6,2022-09-30,2740684.0997698624,2393523.259928833,2659187.5538299596,2683249.996784095,2800915.8832904114,-216137.1659722067,-310662.09865318734,-138587.31768740827,-216137.1659722067,-310662.09865318734,-138587.31768740827,0.0,0.0,0.0,2524546.9337976556
7,2022-10-31,2721909.1917531895,2807404.6122917086,3103075.183801757,2660904.532991512,2776981.6891736,238876.24040123457,114441.04131488739,366621.63729043514,238876.24040123457,114441.04131488739,366621.63729043514,0.0,0.0,0.0,2960785.432154424
8,2022-11-30,2702926.7338326834,2498486.6830907525,2751461.6685872125,2644280.1564673227,2757992.5026836772,-73527.17562216092,-151663.23542674427,11230.293221453936,-73527.17562216092,-151663.23542674427,11230.293221453936,0.0,0.0,0.0,2629399.5582105224
9,2022-12-31,2683298.1795394467,2603869.5594397625,2881126.540165861,2625892.9216474155,2735580.4720381573,59064.4729788424,-34422.10250746171,147969.8576588679,59064.4729788424,-34422.10250746171,147969.8576588679,0.0,0.0,0.0,2742362.652518289
10,2023-01-31,2663118.0146227237,2432012.6961210337,2692433.8392332015,2603352.39857016,2718458.5501209158,-109412.6867706396,-222317.23422400362,-970.209004769522,-109412.6867706396,-222317.23422400362,-970.209004769522,0.0,0.0,0.0,2553705.3278520843
11,2023-02-28,2645598.2728203353,2345090.2103674095,2621836.503231654,2584406.778270391,2704843.747004523,-165668.73126177528,-305086.46361827105,-46315.72921773634,-165668.73126177528,-305086.46361827105,-46315.72921773634,0.0,0.0,0.0,2479929.54155856
12,2023-03-31,2627681.893997533,2739311.6583261574,2995471.0513036973,2562697.352904398,2691562.6954532214,234969.36455006752,133036.80208475544,335548.30634582776,234969.36455006752,133036.80208475544,335548.30634582776,0.0,0.0,0.0,2862651.2585476004
13,2023-04-30,2611437.3144665086,2632084.9154153676,2877728.465482077,2552267.5282744337,2674426.7503560595,145971.39034448337,56363.8189918602,247638.08325306713,145971.39034448337,56363.8189918602,247638.08325306713,0.0,0.0,0.0,2757408.704810992
14,2023-05-31,2596123.624641371,2690858.227850683,2952405.409096387,2538197.1530765314,2662766.407551349,230143.68992574222,143945.23340767913,321894.9692833606,230143.68992574222,143945.23340767913,321894.9692833606,0.0,0.0,0.0,2826267.3145671133
15,2023-06-30,2583376.047838176,2593942.204062889,2828435.4968807027,2525187.15041199,2649515.9112826334,136060.5231226025,58028.69288859899,222434.41794316197,136060.5231226025,58028.69288859899,222434.41794316197,0.0,0.0,0.0,2719436.5709607787
16,2023-07-31,2573818.556681528,2290958.938223436,2542839.976453693,2519397.392711603,2638168.239928458,-153372.48608793216,-241761.8228481723,-67019.51689132823,-153372.48608793216,-241761.8228481723,-67019.51689132823,0.0,0.0,0.0,2420446.070593596
17,2023-08-31,2567540.6998686027,2251738.6280001514,2519067.3519696337,2513375.2272478514,2630515.988641059,-174271.5118053653,-264552.2241405091,-85550.70102689396,-174271.5118053653,-264552.2241405091,-85550.70102689396,0.0,0.0,0.0,2393269.1880632374
18,2023-09-30,2564370.0812068474,2094913.2713562457,2364101.417496186,2507797.7564891777,2628275.994427983,-335685.7087813469,-449104.15586937865,-232424.53171526166,-335685.7087813469,-449104.15586937865,-232424.53171526166,0.0,0.0,0.0,2228684.3724255003
19,2023-10-31,2564740.048860522,2606935.5341912885,2912853.987745294,2511182.636613963,2628329.7680046265,193450.69987949758,102185.18677783578,290733.6521347739,193450.69987949758,102185.18677783578,290733.6521347739,0.0,0.0,0.0,2758190.7487400197
20,2023-11-30,2567583.6895228866,2497142.95916716,2741331.49383421,2513843.821327361,2631333.4729915694,53116.34454513303,-58247.90762821478,163984.68449293755,53116.34454513303,-58247.90762821478,163984.68449293755,0.0,0.0,0.0,2620700.0340680196
21,2023-12-31,2572445.320764964,2499999.166707443,2756899.4381575435,2517918.744889819,2631206.409704775,53299.25667533411,-46087.445072744675,164621.29076504055,53299.25667533411,-46087.445072744675,164621.29076504055,0.0,0.0,0.0,2625744.577440298
22,2024-01-31,2579170.842521833,2314980.7674804004,2589973.5639385725,2520453.3138934984,2634337.1958176466,-135109.45389983465,-216105.40404810727,-57088.18687776856,-135109.45389983465,-216105.40404810727,-57088.18687776856,0.0,0.0,0.0,2444061.388621998
23,2024-02-29,2587619.0624663243,2290341.5743827154,2569667.7169942684,2529553.220802808,2645128.791785422,-151141.45958155868,-255139.3681901782,-52998.06915864032,-151141.45958155868,-255139.3681901782,-52998.06915864032,0.0,0.0,0.0,2436477.6028847657
24,2024-03-31,2597446.0479165907,2695562.667021304,2976699.860558819,2538829.6570280297,2661470.2174367565,247399.3193391982,141496.8614249107,361372.66167803516,247399.3193391982,141496.8614249107,361372.66167803516,0.0,0.0,0.0,2844845.3672557888
25,2024-04-30,2606956.033836203,2648608.455911107,2913456.412230567,2546205.0554022407,2666859.5364172934,170812.01609884007,93166.09712558879,252611.74251856346,170812.01609884007,93166.09712558879,252611.74251856346,0.0,0.0,0.0,2777768.0499350433
26,2024-05-31,2616783.0192864696,2703959.4498512307,2983823.039039801,2546044.076040668,2679794.3412618893,230011.5922902813,136581.00164302607,335430.9174408076,230011.5922902813,136581.00164302607,335430.9174408076,0.0,0.0,0.0,2846794.611576751
27,2024-06-30,2626293.005206082,2605645.305720555,2874442.90313434,2548468.782931897,2696478.469853919,120400.90541253913,15474.784900324155,217303.7998152138,120400.90541253913,15474.784900324155,217303.7998152138,0.0,0.0,0.0,2746693.910618621
28,2024-07-31,2636119.990656348,2250788.9203540473,2492654.3309101583,2554736.9781061746,2701807.7842650325,-259178.0188940867,-361505.8137110181,-157033.35645553746,-259178.0188940867,-361505.8137110181,-157033.35645553746,0.0,0.0,0.0,2376941.9717622614
29,2024-08-31,2645946.9761066143,2167119.5339745414,2439674.119203489,2557731.3870587433,2720034.5483887666,-340169.9114283506,-456643.75287757395,-220875.93210664167,-340169.9114283506,-456643.75287757395,-220875.93210664167,0.0,0.0,0.0,2305777.064678264
30,2024-09-30,2655456.962026227,2322145.8129929733,3022449.004290034,2559925.4708397808,2739894.9112396906,20415.90189725241,-272398.90413896745,288277.71159297205,20415.90189725241,-272398.90413896745,288277.71159297205,0.0,0.0,0.0,2675872.8639234793
31,2024-10-31,2665283.947476493,2590635.4046794227,3425708.355292121,2563207.1855334155,2759812.037690122,338612.5799831381,-97687.7333619922,769178.1364125342,338612.5799831381,-97687.7333619922,769178.1364125342,0.0,0.0,0.0,3003896.527459631
32,2024-11-30,2674793.933396106,2049065.794236339,2661572.6971669984,2565993.8593401434,2780601.815306794,-324019.00222801254,-571644.5762470269,-88208.77670697733,-324019.00222801254,-571644.5762470269,-88208.77670697733,0.0,0.0,0.0,2350774.9311680933
