,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2828590.81053115,2981016.504917073,3174722.208463865,2754675.7139244,2895146.91584545,247770.62885785985,183377.6337089763,307091.274266125,247770.62885785985,183377.6337089763,307091.274266125,0.0,0.0,0.0,3076361.43938901
1,2022-04-30,2814888.4831090267,2880216.641637167,3070099.4113983656,2753924.573464527,2875899.6003953097,160260.8479435622,91174.97284850171,231530.88360883755,160260.8479435622,91174.97284850171,231530.88360883755,0.0,0.0,0.0,2975149.3310525888
2,2022-05-31,2801345.1571137295,2930249.518529682,3121276.899329216,2744485.4353469685,2857860.3383592013,223954.75814429246,163980.85569263957,283536.0158923492,223954.75814429246,163980.85569263957,283536.0158923492,0.0,0.0,0.0,3025299.915258022
3,2022-06-30,2789005.9766966184,2828195.3750129715,3012138.2165176314,2734486.472864889,2843119.826673948,131796.92487237492,71193.00429896281,194905.29260525233,131796.92487237492,71193.00429896281,194905.29260525233,0.0,0.0,0.0,2920802.9015689935
4,2022-07-31,2776094.9065342285,2499083.4208886507,2681979.164017639,2725790.4390572356,2829495.3550704126,-183555.89000047752,-234896.23223603153,-135311.2232191574,-183555.89000047752,-234896.23223603153,-135311.2232191574,0.0,0.0,0.0,2592539.016533751
5,2022-08-31,2761014.373061974,2433909.2528477036,2618281.079908356,2710945.4246980916,2811854.9286134546,-234216.97312777993,-292013.23423757625,-184740.5223692964,-234216.97312777993,-292013.23423757625,-184740.5223692964,0.0,0.0,0.0,2526797.399934194
6,2022-09-30,2743854.57174005,2431468.0140682375,2635025.07635966,2693121.4841557066,2794623.3222031435,-210630.40185782648,-295108.80327050097,-142876.42587386552,-210630.40185782648,-295108.80327050097,-142876.42587386552,0.0,0.0,0.0,2533224.1698822235
7,2022-10-31,2723731.7082347716,2855207.5776078403,3063537.106271039,2670379.0290540634,2771142.9105418487,236639.65697942564,169847.0876298753,303530.1354397563,236639.65697942564,169847.0876298753,303530.1354397563,0.0,0.0,0.0,2960371.3652141974
8,2022-11-30,2702556.177109192,2539044.32139779,2755360.9670273787,2652965.4333262206,2751896.954914536,-56924.40912139202,-116105.83062879874,11716.801917153904,-56924.40912139202,-116105.83062879874,11716.801917153904,0.0,0.0,0.0,2645631.7679878003
9,2022-12-31,2680124.0124430633,2629590.7041301476,2842112.5062816273,2630007.4515948165,2729645.9234767663,53355.85596269574,-26330.496138120983,128721.26630958328,53355.85596269574,-26330.496138120983,128721.26630958328,0.0,0.0,0.0,2733479.868405759
10,2023-01-31,2656943.479579593,2479317.7977854502,2675538.604805947,2607034.726323003,2712877.481930577,-85130.15052395374,-171692.91822244544,-6944.875830973101,-85130.15052395374,-171692.91822244544,-6944.875830973101,0.0,0.0,0.0,2571813.3290556394
11,2023-02-28,2636397.874377844,2388173.663382592,2589876.7405865975,2587389.8906034944,2687964.3193099415,-146182.23016802577,-248645.8923011507,-51362.13474241725,-146182.23016802577,-248645.8923011507,-51362.13474241725,0.0,0.0,0.0,2490215.644209818
12,2023-03-31,2614745.2505600383,2763279.100874902,2961995.955351906,2556426.4884012705,2671101.1761223217,245903.61142245613,166684.69573704194,334563.1365204281,245903.61142245613,166684.69573704194,334563.1365204281,0.0,0.0,0.0,2860648.8619824946
13,2023-04-30,2596184.4240815775,2653536.698243226,2856426.8897314905,2537852.151998091,2657756.4234153274,157955.95967050918,65408.74883097591,246399.52224583787,157955.95967050918,65408.74883097591,246399.52224583787,0.0,0.0,0.0,2754140.3837520867
14,2023-05-31,2579109.61402679,2703320.873695815,2909436.2299558762,2529335.9594374336,2639521.13257284,224471.13609254482,162723.90430556503,290824.00515528425,224471.13609254482,162723.90430556503,290824.00515528425,0.0,0.0,0.0,2803580.750119335
15,2023-06-30,2564854.9048996307,2606703.2288231933,2803747.9544277308,2520590.8176081306,2624437.2313229535,136903.67705901095,67489.79635934117,205505.1020740528,136903.67705901095,67489.79635934117,205505.1020740528,0.0,0.0,0.0,2701758.5819586418
16,2023-07-31,2552431.378594629,2305440.3313978845,2501810.241189732,2509606.7822844954,2610265.7734239097,-147622.61291917678,-211856.64278308238,-90026.53683759806,-147622.61291917678,-211856.64278308238,-90026.53683759806,0.0,0.0,0.0,2404808.765675452
17,2023-08-31,2544805.7873892286,2256524.767430505,2454514.4515089067,2503260.4642660595,2596901.116151302,-184329.25750916853,-253600.07518011337,-126885.42450707818,-184329.25750916853,-253600.07518011337,-126885.42450707818,0.0,0.0,0.0,2360476.52988006
18,2023-09-30,2541994.587149778,2089428.1205638407,2303437.745972139,2501949.482962116,2592670.6529929442,-345322.64366821316,-416056.5741171224,-274102.79441974073,-345322.64366821316,-416056.5741171224,-274102.79441974073,0.0,0.0,0.0,2196671.9434815645
19,2023-10-31,2543173.815373527,2649282.6534458315,2863101.102001233,2503233.1865718747,2589396.6862251214,212870.4633999926,150110.99743124985,293652.38346983335,212870.4633999926,150110.99743124985,293652.38346983335,0.0,0.0,0.0,2756044.2787735197
20,2023-11-30,2548146.989448687,2501580.0123516223,2710433.820318857,2506823.636959555,2592462.2021486843,63806.24876116047,-19761.126584595982,153546.59455799352,63806.24876116047,-19761.126584595982,153546.59455799352,0.0,0.0,0.0,2611953.2382098474
21,2023-12-31,2556553.5747274854,2519217.0183194983,2724950.1807081993,2518734.084365001,2599908.1914485036,62491.18528575927,-18033.93486755363,133167.62321662979,62491.18528575927,-18033.93486755363,133167.62321662979,0.0,0.0,0.0,2619044.7600132446
22,2024-01-31,2567918.6511122803,2337650.416172179,2530892.617234761,2532231.3768436424,2606335.314253803,-132562.06143353172,-189364.15031565476,-72849.5181968152,-132562.06143353172,-189364.15031565476,-72849.5181968152,0.0,0.0,0.0,2435356.5896787485
