,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-03-31,2828344.56268931,2971212.575978813,3182694.7391209765,2757665.40503615,2906814.6293655,247323.37553323552,185656.29905617284,314655.0857365021,247323.37553323552,185656.29905617284,314655.0857365021,0.0,0.0,0.0,3075667.9382225457
1,2022-04-30,2816712.6394536165,2868099.5363600864,3060729.6081664525,2754772.797513953,2883878.1736890785,151617.80365655682,82259.11786763943,211337.1140690975,151617.80365655682,82259.11786763943,211337.1140690975,0.0,0.0,0.0,2968330.443110173
2,2022-05-31,2804705.3274451625,2935759.098622046,3132300.169682265,2746056.840293126,2867066.8562689614,228504.54128381916,169684.37288268487,294881.20363773475,228504.54128381916,169684.37288268487,294881.20363773475,0.0,0.0,0.0,3033209.868728982
3,2022-06-30,2793992.1398137594,2828253.216295648,3014940.1758069214,2739812.4492167872,2851473.3638441646,131268.9920392996,69112.74330311037,189585.29652156765,131268.9920392996,69112.74330311037,189585.29652156765,0.0,0.0,0.0,2925261.131853059
4,2022-07-31,2782080.238494062,2497761.337652445,2693200.9685465815,2730674.3957305686,2831584.271464564,-184396.35953980742,-248009.62898620666,-128775.17985415239,-184396.35953980742,-248009.62898620666,-128775.17985415239,0.0,0.0,0.0,2597683.8789542546
5,2022-08-31,2767306.8720518695,2427238.082999367,2628496.882839478,2713279.357557819,2818397.765180903,-235649.79777102362,-296705.4067569721,-170583.20457182647,-235649.79777102362,-296705.4067569721,-170583.20457182647,0.0,0.0,0.0,2531657.074280846
6,2022-09-30,2749164.8674424225,2404746.694448432,2639297.2975207553,2697387.686280148,2799966.9024007954,-228610.67077523575,-324046.99814683356,-144439.66025263292,-228610.67077523575,-324046.99814683356,-144439.66025263292,0.0,0.0,0.0,2520554.196667187
7,2022-10-31,2728428.7818616,2856379.790940736,3074639.565664733,2675907.335631913,2774332.0710218153,233790.76106959954,148477.59542038187,330377.16874263366,233790.76106959954,148477.59542038187,330377.16874263366,0.0,0.0,0.0,2962219.5429311995
8,2022-11-30,2706491.0522725172,2547304.1175773544,2776268.8615205376,2652749.585768763,2759104.5978917847,-46356.94111584381,-110659.58157246977,10094.293376131161,-46356.94111584381,-110659.58157246977,10094.293376131161,0.0,0.0,0.0,2660134.1111566736
9,2022-12-31,2683710.4349374543,2605760.2203734713,2844174.15026909,2628792.5180881484,2735978.068700629,44592.44950362431,-51020.97441752767,128615.84849223879,44592.44950362431,-51020.97441752767,128615.84849223879,0.0,0.0,0.0,2728302.8844410786
10,2023-01-31,2660736.38864629,2444982.7026728387,2674996.6693342556,2604974.385613204,2717526.0891792756,-96975.00663082983,-194471.01195960454,2310.12029233402,-96975.00663082983,-194471.01195960454,2310.12029233402,0.0,0.0,0.0,2563761.38201546
11,2023-02-28,2638933.0349448365,2367637.7017989345,2586633.963870158,2581831.8609785535,2698943.2782196817,-159259.6725435918,-267422.428784561,-44224.27920208166,-159259.6725435918,-267422.428784561,-44224.27920208166,0.0,0.0,0.0,2479673.3624012447
12,2023-03-31,2616159.256093321,2755142.6020460846,2954520.437724647,2556903.2328073257,2676166.3740267036,241878.00501680013,159313.39000131722,317360.03640528035,241878.00501680013,159313.39000131722,317360.03640528035,0.0,0.0,0.0,2858037.261110121
13,2023-04-30,2595893.4596683998,2635480.822990391,2844052.7235698937,2539569.7360176025,2654034.5873356424,146993.86917719408,51203.82673766784,219721.88399064602,146993.86917719408,51203.82673766784,219721.88399064602,0.0,0.0,0.0,2742887.328845594
14,2023-05-31,2578223.0631495863,2708141.824940989,2912052.614743907,2527001.6817455315,2630933.7800822663,227034.15239391627,158584.4878135382,306069.4020373812,227034.15239391627,158584.4878135382,306069.4020373812,0.0,0.0,0.0,2805257.2155435025
15,2023-06-30,2564678.1107333163,2615289.737817957,2819132.3578493297,2511866.283549848,2614487.561418517,144228.22709487402,68277.51865305316,219414.38391622654,144228.22709487402,68277.51865305316,219414.38391622654,0.0,0.0,0.0,2708906.33782819
16,2023-07-31,2553874.790580272,2297044.110612337,2511614.5248519173,2506346.022792288,2599238.6492735255,-151885.65605284896,-228216.8565797636,-88847.01568575246,-151885.65605284896,-228216.8565797636,-88847.01568575246,0.0,0.0,0.0,2401989.1345274234
17,2023-08-31,2545760.573920456,2255936.853488918,2468429.5149662737,2501094.51638385,2588743.3325294247,-184912.5880849999,-247163.17952814727,-115000.85636169963,-184912.5880849999,-247163.17952814727,-115000.85636169963,0.0,0.0,0.0,2360847.9858354563
18,2023-09-30,2542088.420609926,2073860.3776648194,2288578.2907111556,2497584.7823079424,2580605.343317593,-357778.517958629,-429706.0413061532,-260513.50291064102,-357778.517958629,-429706.0413061532,-260513.50291064102,0.0,0.0,0.0,2184309.902651297
19,2023-10-31,2542901.7730120756,2627196.0636423314,2867952.147340883,2502502.3746133647,2581832.503949861,204603.09102322054,125294.61283241921,268715.9731922121,204603.09102322054,125294.61283241921,268715.9731922121,0.0,0.0,0.0,2747504.8640352963
